Status,Date,Start_Time,End_Time,Duration,Alert,Reason,Issue,Comment,id,equipment_name,created_at
INACTIVE,2025-09-17,20:06:37,20:08:12,2,Yes,-,-,-,0006021f-c730-4533-9ac1-2e3679eb9540,IMA E06,2025-10-01 03:24:29.576452+00
INACTIVE,2025-09-20,17:49:13,17:50:18,1,No,-,-,-,002f00b4-b1b9-45a2-b5c8-8fa581e56772,IMA E06,2025-10-01 03:24:30.866611+00
ACTIVE,2025-09-23,08:50:48,08:52:48,2,No,-,-,-,00350f4b-5fd1-4160-a2cb-5e020148c1e0,IMA E06,2025-10-01 03:24:31.310218+00
ACTIVE,2025-09-18,09:28:56,09:48:56,20,No,-,-,-,003889e4-11ec-4cd6-957b-9d3456a5d405,IMA T19,2025-10-01 03:24:23.397716+00
INACTIVE,2025-09-26,21:09:28,21:10:58,2,Yes,Mechanical General,311 Crumpled filter paper,-,003c64cf-0d76-4004-b3f5-ca65d0e1659a,IMA T19,2025-10-01 03:24:26.969994+00
ACTIVE,2025-09-15,06:15:44,06:21:44,6,No,-,-,-,006a1214-766f-4b0f-a128-044778593f8c,IMA E06,2025-10-01 03:24:28.198188+00
ACTIVE,2025-09-22,11:08:23,11:11:23,3,No,-,-,-,00b4448b-8923-4374-998a-8e3546411168,IMA T19,2025-10-01 03:24:25.118773+00
ACTIVE,2025-09-26,13:10:33,13:48:03,38,No,-,-,-,00be27a1-b690-446b-a665-023a485c310a,IMA E06,2025-10-01 03:24:33.059588+00
ACTIVE,2025-09-29,15:39:30,15:45:00,6,No,-,-,-,00cfb284-0247-442e-aa3b-40b4e58b2e31,IMA T19,2025-10-01 03:24:27.585911+00
ACTIVE,2025-09-29,08:21:53,08:25:53,4,No,-,-,-,00d5651e-cc95-485d-b546-bdf57ff76eac,IMA E06,2025-10-01 03:24:33.928006+00
ACTIVE,2025-09-25,22:38:28,22:43:28,5,No,-,-,-,014f58d0-3d8a-4c91-b760-c630efeab227,IMA T19,2025-10-01 03:24:26.172856+00
INACTIVE,2025-09-19,15:10:48,15:23:53,13,Yes,Admin,143 TEA BREAK,-,0155c9d3-12fd-4ce3-ac6c-480f86afde38,IMA E06,2025-10-01 03:24:30.437349+00
ACTIVE,2025-09-17,18:54:25,19:09:25,15,No,-,-,-,0163b888-a400-4723-98cc-4b3ae412ab7e,IMA T19,2025-10-01 03:24:22.877579+00
INACTIVE,2025-09-16,10:47:41,10:50:21,3,No,-,-,-,01c14393-0142-4850-95af-41f0ac99e850,IMA T19,2025-10-01 03:24:22.074365+00
ACTIVE,2025-09-29,12:29:05,12:31:05,2,No,-,-,-,01c46695-33e0-42a6-a190-f3aa6e1bad14,IMA E06,2025-10-01 03:24:33.928006+00
ACTIVE,2025-09-26,03:30:07,03:34:37,4,No,-,-,-,01f0889a-f48f-4f95-85e8-e7fb0114a802,IMA E06,2025-10-01 03:24:33.059588+00
INACTIVE,2025-09-20,22:01:42,22:05:30,4,Yes,Admin,129 Weekly CLIRT,-,0203e3b1-db44-4639-8b16-3e663f84b6c7,IMA T19,2025-10-01 03:24:24.504481+00
ACTIVE,2025-09-19,23:18:12,23:45:42,28,No,-,-,-,02180476-27fa-4766-863d-09d3306466ef,IMA E06,2025-10-01 03:24:30.437349+00
ACTIVE,2025-09-27,06:45:40,07:08:11,23,No,-,-,-,02187b9a-6021-4bef-bf10-2ea4ea77940b,IMA E06,2025-10-01 03:24:33.48849+00
ACTIVE,2025-09-15,17:55:25,17:56:25,1,No,-,-,-,0234ea2c-5685-4f4b-8af1-826cb4ce9d91,IMA T19,2025-10-01 03:24:22.074365+00
INACTIVE,2025-09-29,07:40:11,07:42:45,3,Yes,Breakdown (Unplanned),-,falling alu,027dc38b-b7f7-46e5-b417-505fb599b27f,IMA E06,2025-10-01 03:24:33.928006+00
ACTIVE,2025-09-22,18:42:23,18:44:53,2,No,-,-,-,02960c56-6f81-4e8c-9167-6ab486a8d8de,IMA E06,2025-10-01 03:24:31.310218+00
ACTIVE,2025-09-17,22:59:55,23:15:55,16,No,-,-,-,02c66f38-313a-4cd4-8ec9-1d3861a6f344,IMA T19,2025-10-01 03:24:22.877579+00
INACTIVE,2025-09-29,08:28:27,08:30:54,2,Yes,-,-,-,02f175a6-49b3-4dd8-9cc7-a7fcda9f44e7,IMA E06,2025-10-01 03:24:33.928006+00
INACTIVE,2025-09-18,19:54:47,20:59:18,65,Yes,-,-,-,02f38f1e-436c-4407-bd22-939fd02215f0,IMA T19,2025-10-01 03:24:23.397716+00
ACTIVE,2025-09-19,13:58:16,14:16:46,18,No,-,-,-,0300a600-1953-4935-997a-88561e3e83bd,IMA T19,2025-10-01 03:24:23.908734+00
ACTIVE,2025-09-23,14:55:09,15:15:39,20,No,-,-,-,03173dc8-ab30-4fd7-ad24-2e01b189ffa3,IMA T19,2025-10-01 03:24:25.640136+00
ACTIVE,2025-09-18,07:16:34,07:22:04,6,No,-,-,-,0359bfd9-5546-4c2e-9233-eda5b57b0ff3,IMA T19,2025-10-01 03:24:23.397716+00
INACTIVE,2025-09-18,21:40:16,21:49:21,9,Yes,-,-,-,03834ce9-2d58-4cd9-8859-04ea6ac43e8b,IMA T19,2025-10-01 03:24:23.908734+00
INACTIVE,2025-09-27,21:14:01,21:33:01,19,No,-,-,-,0387a15d-798a-4e82-a6d5-4888556b07c2,IMA E06,2025-10-01 03:24:33.48849+00
ACTIVE,2025-09-17,18:12:48,18:28:48,16,No,-,-,-,038834d0-74ba-49fe-b3f7-e4f648c36f87,IMA E06,2025-10-01 03:24:29.576452+00
INACTIVE,2025-09-24,15:57:58,17:48:05,110,No,-,-,-,03963e38-cd9b-4945-b893-42d1e4fe8f38,IMA E06,2025-10-01 03:24:32.188922+00
ACTIVE,2025-09-23,12:47:19,12:56:49,10,No,-,-,-,03a0009c-db25-4cf8-8432-00f4b081702c,IMA T19,2025-10-01 03:24:25.118773+00
INACTIVE,2025-09-20,13:03:13,15:30:48,148,Yes,Admin,137 Meeting,-,03b9b254-edc9-477e-bcd7-ae0d112de18b,IMA E06,2025-10-01 03:24:30.866611+00
ACTIVE,2025-09-15,13:43:23,14:42:53,60,No,-,-,-,03bb9fd5-4b76-46b5-9b1b-50604df60ebb,IMA T19,2025-10-01 03:24:22.074365+00
ACTIVE,2025-09-23,21:04:12,21:06:42,2,No,-,-,-,03cc23ac-1222-4e81-86c5-6781ab35c15b,IMA T19,2025-10-01 03:24:25.640136+00
ACTIVE,2025-09-22,08:17:31,08:24:31,7,No,-,-,-,03cc69cf-46b3-444c-8513-0bf9544a1010,IMA E06,2025-10-01 03:24:30.866611+00
ACTIVE,2025-09-17,16:56:05,17:10:35,14,No,-,-,-,03dbc99f-e503-429e-ad2f-b76eb835e480,IMA T19,2025-10-01 03:24:22.877579+00
INACTIVE,2025-09-20,22:35:34,23:59:58,84,Yes,Quality / Rework,127 Reworks,-,03e7539c-e58b-4590-bad1-18028ef125ae,IMA T19,2025-10-01 03:24:24.504481+00
ACTIVE,2025-09-24,20:16:06,20:56:06,40,No,-,-,-,03fa4113-ec9d-490a-ab97-2c70b156d5fc,IMA E06,2025-10-01 03:24:32.188922+00
INACTIVE,2025-09-18,19:25:35,19:30:10,5,No,-,-,-,040b9950-1918-4707-97fc-70f18d28e515,IMA E06,2025-10-01 03:24:30.005057+00
ACTIVE,2025-09-25,16:38:40,16:39:40,1,No,-,-,-,041bcb01-87ed-4904-927e-4d8a73cd24ff,IMA T19,2025-10-01 03:24:26.172856+00
INACTIVE,2025-09-29,09:42:12,09:44:22,2,Yes,-,-,-,043cdf1d-022a-4d9e-a98c-3bc75d226c99,IMA E06,2025-10-01 03:24:33.928006+00
INACTIVE,2025-09-19,11:08:26,12:13:00,65,Yes,Admin,142 Break time,-,044a151c-0126-4252-b8b6-dffabe3157da,IMA T19,2025-10-01 03:24:23.908734+00
INACTIVE,2025-09-29,13:23:33,13:24:39,1,Yes,-,-,-,0455184e-c1b3-4da3-95d2-958d83fab5c2,IMA T19,2025-10-01 03:24:27.585911+00
ACTIVE,2025-09-29,08:44:08,08:47:38,4,No,-,-,-,04568345-a5ad-41e7-9c61-0be136ea8679,IMA E06,2025-10-01 03:24:33.928006+00
INACTIVE,2025-09-19,15:03:23,15:04:57,2,No,-,-,-,045be432-6cd0-402b-915a-28aa3b1a8883,IMA E06,2025-10-01 03:24:30.437349+00
